Approx_Item_Price,Days_Left,Frequent_Item,Last_Purchased,Preferred_Shopping_Weekday,Preferred_Store,Product,Product_Name,Purchase_Freq,Reminders,Size,User
2.5197777777777786,1.0,1.0,2019-11-10,Friday,Aldi,7002.0,Shampoo,6.0,0.0,S,10000.0
7.277166666666667,False Positive,0.0,2019-11-08,Monday,Aldi,7002.0,Shampoo,3.0,Inactive,L,10000.0
5.187837837837837,False Positive,0.0,2019-11-06,Monday,Tesco,7002.0,Shampoo,4.0,Inactive,M,10000.0
7.470256410256413,False Positive,0.0,2019-11-10,Friday,Aldi,7008.0,Coffee,2.0,Inactive,L,10000.0
2.2574576271186433,Missed,1.0,2019-11-08,Thursday,Tesco,7008.0,Coffee,6.0,1,S,10000.0
5.008863636363636,Missed,1.0,2019-11-06,Friday,Aldi,7008.0,Coffee,6.0,1,M,10000.0
2.215934065934067,Missed,1.0,2019-11-10,Monday,Aldi,7006.0,Chicken,3.0,1,S,10000.0
7.241764705882352,Missed,1.0,2019-11-08,Friday,Tesco,7006.0,Chicken,4.0,1,L,10000.0
5.051470588235294,False Positive,0.0,2019-10-29,Monday,Tesco,7006.0,Chicken,6.0,Inactive,M,10000.0
7.198205128205125,1,1.0,2019-11-10,Saturday,Aldi,7011.0,Rice,6.0,0,L,10000.0
4.9739062500000015,Missed,1.0,2019-11-08,Monday,Aldi,7011.0,Rice,4.0,1,M,10000.0
2.192307692307691,False Positive,0.0,2019-10-29,Thursday,Tesco,7011.0,Rice,2.0,Inactive,S,10000.0
5.041718750000002,Missed,1.0,2019-11-10,Thursday,Aldi,7012.0,Freshener,3.0,1,M,10000.0
2.0276,False Positive,0.0,2019-11-01,Monday,Tesco,7012.0,Freshener,3.0,Inactive,S,10000.0
6.586666666666666,False Positive,0.0,2019-07-08,Monday,M&S,7012.0,Freshener,63.0,Inactive,L,10000.0
7.000535714285716,Missed,1.0,2019-11-10,Thursday,Aldi,7014.0,Cookies,3.0,1,L,10000.0
2.488260869565217,1,1.0,2019-11-08,Monday,Tesco,7014.0,Cookies,8.0,0,S,10000.0
4.953650793650794,False Positive,0.0,2019-10-29,Monday,Aldi,7014.0,Cookies,3.0,Inactive,M,10000.0
7.274590163934429,Missed,1.0,2019-11-10,Friday,Aldi,7003.0,Butter,3.0,1,L,10000.0
2.197777777777778,False Positive,0.0,2019-08-09,Monday,Lidl,7003.0,Butter,21.0,Inactive,S,10000.0
4.535,20,1.0,2019-05-06,Monday,M&S,7003.0,Butter,213.0,0,M,10000.0
2.148947368421053,Missed,1.0,2019-11-10,Thursday,Aldi,7009.0,Sugar,4.0,1,S,10000.0
